Vereador,Partido,Projeto: REQ. 075/14 - PROC. 1791/14 - Data de votação: 06/08/2014 - Autoria: Ver. Pedro Ruas e Verª Fernanda Melchionna - Resultado: Aprovado - Horário de início: 15:56:26  - Horário de término: 15:58:24 - Link para projeto: http://camarapoa.rs.gov.br/processos/122874
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Ausente
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Abstenção
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Abstenção
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Abstenção
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Abstenção
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Abstenção
Mauro Pinheiro,PT,Sim
Mônica Leal,PP,Abstenção
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Abstenção
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Sim
