Vereador,Partido,Projeto: PLE 023/15 - PROC. 1868/15 - EMENDA 02 - Data de votação: 16/12/2015 - Autoria: Governo Municipal - Resultado: Rejeitado - Horário de início: 19:06:28  - Horário de término: 19:09:12 - Link para projeto: http://camarapoa.rs.gov.br/processos/126137
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Bernardino Vendruscolo,PROS,Sim
Carlos Casartelli,PTB,Não
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Não votou
Dr. Cristaldo,PDT,Não votou
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Abstenção
Mendes Ribeiro,PMDB,Abstenção
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Ausente
Paulinho Motorista,PSB,Não
Paulinho Ruben Berta,N/A,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Representação externa
