Vereador,Partido,Projeto: REQ. RETIRADA DO REGIME DE URGÊNCIA DO PLCE 011/17 - PROC. 2066/17 - Data de votação: 18/12/2017 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 14:53:40  - Horário de término: 14:55:36 - Link para projeto: http://camarapoa.rs.gov.br/processos/132387
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Não
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Ausente
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Não votou
Cláudio Conceição,DEM,Não votou
Comandante Nádia,PMDB,Não
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Gilson Padeiro,PPS,Não votou
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Sim
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Ausente
Moisés Barboza,PSDB,Não
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Sim
Ricardo Gomes,PP,Não
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PODE,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Não votou
