Vereador,Partido,Projeto: PLCE 019/15 - PROC. 2099/15 - EMENDA 01 - Data de votação: 05/10/2015 - Autoria: Governo Municipal - Resultado: Rejeitado - Horário de início: 16:08:04  - Horário de término: 16:10:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/126382
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Justificado
Carlos Casartelli,PTB,Não
Cassio Trogildo,PTB,Ausente
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Não
Titi Alvares,N/A,Sim
Waldir Canal,PRB,Representação externa
