Vereador,Partido,Projeto: REQ. REGIME DE URGÊNCIA - PROC. 2066/17 - Data de votação: 01/11/2017 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 16:42:51  - Horário de término: 16:45:01 - Link para projeto: http://camarapoa.rs.gov.br/processos/132387
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Ausente
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Representação externa
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Ausente
Dr. Goulart,PTB,Ausente
Dr. Thiago,DEM,Sim
Felipe Camozzato,NOVO,Ausente
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Ausente
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Ausente
Luciano Marcantonio,PTB,Ausente
Marcelo Sgarbossa,PT,Sim
Mauro Pinheiro,REDE,Ausente
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Ausente
Moisés Barboza,PSDB,Ausente
Monica Leal,PP,Ausente
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Ausente
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Ausente
Reginaldo Pujol,DEM,Ausente
Ricardo Gomes,PP,Ausente
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PODE,Sim
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Não votou
