Vereador,Partido,Projeto: PLCE 002/15 - PROC. 0427/15 - EMENDA 04 - Data de votação: 14/12/2015 - Autoria: Executivo Municipal - Resultado: Rejeitado - Horário de início: 16:44:29  - Horário de término: 16:48:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/124628
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Abstenção
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Abstenção
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Mendes Ribeiro,PMDB,Abstenção
Márcio Bins Ely,PDT,Abstenção
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulinho Ruben Berta,N/A,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Ausente
Waldir Canal,PRB,Não votou
