Vereador,Partido,Projeto: PLE 037/15 - PROC. 2528/15 - Data de votação: 21/12/2015 - Autoria: Executivo Municipal - Resultado: Aprovado - Horário de início: 11:12:24  - Horário de término: 11:14:33 - Link para projeto: http://camarapoa.rs.gov.br/processos/126836
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não
Bernardino Vendruscolo,PROS,Não
Carlos Casartelli,PTB,Sim
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Sim
Dr. Cristaldo,PDT,Ausente
Dr. Goulart,PTB,Ausente
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Não
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulinho Ruben Berta,N/A,Sim
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Não
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Sim
