Vereador,Partido,Projeto: PLE 023/15 - PROC. 1868/15 - MENSAGEM RETIFICATIVA - SUBEMENDA 01 - Data de votação: 16/12/2015 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 19:18:18  - Horário de término: 19:20:45 - Link para projeto: http://camarapoa.rs.gov.br/processos/126137
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Abstenção
Bernardino Vendruscolo,PROS,Não
Carlos Casartelli,PTB,Sim
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Sim
Dr. Cristaldo,PDT,Sim
Dr. Goulart,PTB,Sim
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Abstenção
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Abstenção
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Ausente
Paulinho Motorista,PSB,Sim
Paulinho Ruben Berta,N/A,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Abstenção
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Abstenção
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Representação externa
