Vereador,Partido,Projeto: PLE 006/14 - PROC. 0279/14 - EMENDA 07 - Data de votação: 21/12/2015 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 16:51:52  - Horário de término: 16:54:01 - Link para projeto: http://camarapoa.rs.gov.br/processos/121312
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Sim
Bernardino Vendruscolo,PROS,Não votou
Carlos Casartelli,PTB,Sim
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Sim
Dr. Cristaldo,PDT,Não votou
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Abstenção
Dr. Thiago,PDT,Não
Elizandro Sabino,PTB,Abstenção
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Abstenção
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Abstenção
Lourdes Sprenger,PMDB,Abstenção
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Abstenção
Márcio Bins Ely,PDT,Abstenção
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulinho Ruben Berta,N/A,Sim
Paulo Brum,PTB,Abstenção
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Abstenção
Rodrigo Maroni,PCdoB,Abstenção
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Sim
