Vereador,Partido,Projeto: PLE 024/14 - PROC. 1632/14 - EMENDA 11 - Data de votação: 10/12/2015 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 16:35:58  - Horário de término: 16:39:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/122711
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Sim
Bernardino Vendruscolo,PROS,Ausente
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Sim
Dr. Goulart,PTB,Sim
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Abstenção
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Ausente
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Abstenção
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Representação externa
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Não votou
Waldir Canal,PRB,Sim
